track_id,track_name,track_artist_id,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
24150,I Don't Care (with Justin Bieber) - Loud Luxury Remix,2782,Ed Sheeran,66,8225,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,Pop Remix,235,pop,dance pop,0.748,0.916,6,-2.634,1,0.0583,0.102,0.0,0.0653,0.518,122.036,194754
3061,Memories - Dillon Francis Remix,6084,Maroon 5,67,17650,Memories (Dillon Francis Remix),2019-12-13,Pop Remix,235,pop,dance pop,0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600
7219,All the Time - Don Diablo Remix,10416,Zara Larsson,70,3798,All the Time (Don Diablo Remix),2019-07-05,Pop Remix,235,pop,dance pop,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616
25699,Call You Mine - Keanu Silva Remix,9215,The Chainsmokers,60,5293,Call You Mine - The Remixes,2019-07-19,Pop Remix,235,pop,dance pop,0.718,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093
5987,Someone You Loved - Future Humans Remix,5402,Lewis Capaldi,69,21936,Someone You Loved (Future Humans Remix),2019-03-05,Pop Remix,235,pop,dance pop,0.65,0.833,1,-4.672,1,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052
27088,Beautiful People (feat. Khalid) - Jack Wins Remix,2782,Ed Sheeran,67,8723,Beautiful People (feat. Khalid) [Jack Wins Remix],2019-07-11,Pop Remix,235,pop,dance pop,0.675,0.919,8,-5.385,1,0.127,0.0799,0.0,0.143,0.585,124.982,163049
8663,Never Really Over - R3HAB Remix,4897,Katy Perry,62,21175,Never Really Over (R3HAB Remix),2019-07-26,Pop Remix,235,pop,dance pop,0.449,0.856,5,-4.788,0,0.0623,0.187,0.0,0.176,0.152,112.648,187675
23920,Post Malone (feat. RANI) - GATTÜSO Remix,8189,Sam Feldt,69,17794,Post Malone (feat. RANI) [GATTÜSO Remix],2019-08-29,Pop Remix,235,pop,dance pop,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619
26820,Tough Love - Tiësto Remix / Radio Edit,743,Avicii,68,20929,Tough Love (Tiësto Remix),2019-06-14,Pop Remix,235,pop,dance pop,0.594,0.935,8,-3.562,1,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187
4724,If I Can't Have You - Gryffin Remix,8410,Shawn Mendes,67,12930,If I Can't Have You (Gryffin Remix),2019-06-20,Pop Remix,235,pop,dance pop,0.642,0.818,2,-4.552,1,0.032,0.0567,0.0,0.0919,0.59,124.957,253040
13291,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,2782,Ed Sheeran,58,12145,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,Pop Remix,235,pop,dance pop,0.679,0.923,6,-6.5,1,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894
13534,Hate Me - R3HAB Remix,2893,Ellie Goulding,67,19316,Hate Me (R3HAB Remix),2019-08-16,Pop Remix,235,pop,dance pop,0.437,0.774,8,-4.918,1,0.0554,0.148,0.0,0.133,0.329,123.125,203733
24092,Body On My,5633,Loud Luxury,67,7132,Body On My,2019-03-29,Pop Remix,235,pop,dance pop,0.744,0.726,1,-4.675,1,0.0463,0.0399,0.0,0.374,0.687,121.985,192507
13294,SOS - Laidback Luke Tribute Remix / Radio Edit,743,Avicii,68,20838,SOS (Laidback Luke Tribute Remix),2019-05-17,Pop Remix,235,pop,dance pop,0.572,0.915,5,-4.451,0,0.0625,0.0111,0.0,0.339,0.678,123.919,164516
18472,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,6098,Martin Garrix,63,8618,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,Pop Remix,235,pop,dance pop,0.69,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238
4470,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,2782,Ed Sheeran,66,5071,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019-12-11,Pop Remix,235,pop,dance pop,0.805,0.835,0,-4.603,1,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230
19999,All My Friends - Eden Prince Remix,133,AJ Mitchell,60,13868,All My Friends (Eden Prince Remix),2019-05-03,Pop Remix,235,pop,dance pop,0.694,0.901,1,-4.322,0,0.0948,0.0702,0.0,0.427,0.368,118.051,173548
12632,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,2333,David Guetta,65,3437,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018-12-28,Pop Remix,235,pop,dance pop,0.678,0.747,10,-5.289,0,0.165,0.0395,0.0,0.174,0.516,120.002,189375
1008,Dancing With A Stranger (With Normani) - Cheat Codes Remix,8195,Sam Smith,69,6850,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019-03-08,Pop Remix,235,pop,dance pop,0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,0.324,111.961,159404
10591,Let It Be Me - Sondr Remix,8793,Steve Aoki,35,456,Let It Be Me (Remixes),2019-10-18,Pop Remix,235,pop,dance pop,0.467,0.821,7,-5.466,1,0.0934,0.00791,0.000441,0.131,0.232,122.676,185366
15994,Heaven - David Guetta & MORTEN Remix,743,Avicii,70,9133,Heaven (David Guetta & MORTEN Remix),2019-08-23,Pop Remix,235,pop,dance pop,0.572,0.934,6,-5.053,0,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238
11630,All Around The World (La La La) - Marnik Remix,7601,R3HAB,64,17087,All Around The World (La La La) [Marnik Remix],2019-08-23,Pop Remix,235,pop,dance pop,0.708,0.913,9,-4.329,0,0.0348,0.089,0.081,0.113,0.707,135.016,170667
6478,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,2333,David Guetta,62,4518,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,Pop Remix,235,pop,dance pop,0.684,0.818,4,-4.477,0,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968
10687,Slow Dance (feat. Ava Max) - Sam Feldt Remix,133,AJ Mitchell,70,18656,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019-10-25,Pop Remix,235,pop,dance pop,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548
17767,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,9215,The Chainsmokers,58,17305,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019-05-24,Pop Remix,235,pop,dance pop,0.62,0.889,11,-3.785,1,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093
